transaction_id,customer_id,card_id,transaction_time,amount,merchant,merchant_category,location
T001,C001,CRD01,2026-04-30 10:10:00,500,Amazon,E-commerce,Delhi
T002,C001,CRD01,2026-04-30 10:15:00,20000,Apple Store,Electronics,Mumbai
T003,C002,CRD02,2026-04-30 11:00:00,150,Dominos,Food,Jaipur
T004,C001,CRD01,2026-04-30 10:20:00,30000,Luxury Brand,Luxury,Bangalore
T005,C003,CRD03,2026-04-30 12:30:00,100,Flipkart,E-commerce,Delhi
T0034,C002,CRD02,2026-04-30 13:17:47,116.57,Dominos,Food,Jaipur
T1177,C010,CRD10,2026-05-01 05:41:21,504.19,Max Fashion,Shopping,Ahmedabad
T1134,C006,CRD06,2026-04-28 14:54:14,876.2,Tiffany,Luxury,Chennai
T0543,C010,CRD10,2026-04-28 01:09:57,1704.36,Zara,Shopping,Delhi
T0561,C006,CRD06,2026-04-30 11:30:25,1897.71,Luxury Brand,Luxury,Chennai
T0668,C004,CRD04,2026-05-01 06:27:39,2954.52,Apple Store,Electronics,Mumbai
T0988,C006,CRD06,2026-04-27 23:11:41,115.55,Luxury Brand,Luxury,Bengaluru
T0519,C004,CRD04,2026-04-29 18:51:28,4209.11,Amazon,E-commerce,Jaipur
T1114,C004,CRD04,2026-04-28 11:18:42,3840.98,Reliance Digital,Electronics,Mumbai
T0639,C006,CRD06,2026-04-29 13:18:44,1403.35,Louis Vuitton,Luxury,Chennai
T0039,C009,CRD09,2026-04-29 19:14:43,3731.54,Luxury Brand,Luxury,Nagpur
T0566,C009,CRD09,2026-04-29 11:51:21,1135.85,PVR Cinemas,Entertainment,Delhi
T0669,C002,CRD02,2026-05-01 07:13:08,105.51,Zomato,Food,Mumbai
T0153,C002,CRD02,2026-04-29 18:09:57,417.66,MakeMyTrip,Travel,Bengaluru
T0176,C010,CRD10,2026-04-30 06:18:05,1511.7,BigBasket,Groceries,Jaipur
T1007,C006,CRD06,2026-04-29 20:11:34,1460.8,Tiffany,Luxury,Chennai
T0565,C006,CRD06,2026-04-30 17:27:00,714.65,Tiffany,Luxury,Chennai
T0656,C010,CRD10,2026-04-30 06:38:11,202.18,H&M,Shopping,Ahmedabad
T0637,C004,CRD04,2026-04-28 15:38:52,1088.25,Croma,Electronics,Mumbai
T0898,C008,CRD08,2026-04-27 20:44:07,356.5,Myntra,E-commerce,Bengaluru
T0437,C009,CRD09,2026-05-01 08:09:17,2513.03,Apple Store,Electronics,Mumbai
T0245,C005,CRD05,2026-04-29 07:59:07,522.2,DMart,Groceries,Mumbai
T0112,C003,CRD03,2026-04-30 19:35:05,9128.14,Zomato,Food,Mumbai
T0433,C006,CRD06,2026-05-01 03:53:49,1752.41,Louis Vuitton,Luxury,Chennai
T0635,C010,CRD10,2026-04-29 22:18:40,282.68,Max Fashion,Shopping,Ahmedabad
T0983,C005,CRD05,2026-04-29 19:43:15,955.64,BigBasket,Groceries,Pune
T0713,C005,CRD05,2026-04-30 05:01:16,392.71,Blinkit,Groceries,Pune
T0481,C007,CRD07,2026-04-30 15:36:23,11810.65,Reliance Digital,Electronics,Pune
T0215,C003,CRD03,2026-05-01 02:33:53,326.77,Zara,Shopping,Delhi
T1052,C007,CRD07,2026-04-28 02:53:50,459.06,Zomato,Food,Mumbai
T0742,C009,CRD09,2026-04-30 16:17:14,2767.42,Reliance Digital,Electronics,Pune
T0144,C001,CRD01,2026-04-30 14:33:05,9302.44,Zara,Shopping,Delhi
T0966,C002,CRD02,2026-04-29 15:13:59,377.94,Zomato,Food,Mumbai
T0413,C009,CRD09,2026-04-30 21:49:47,1256.39,Apple Store,Electronics,Bengaluru
T0663,C008,CRD08,2026-04-30 05:02:37,1940.95,Amazon,E-commerce,Hyderabad
T1120,C004,CRD04,2026-04-29 17:48:41,4074.9,IndianOil,Fuel,Kolkata
T0907,C005,CRD05,2026-04-30 06:10:38,631.44,DMart,Groceries,Pune
T0068,C003,CRD03,2026-04-29 05:08:37,4128.43,Medplus,Healthcare,Jaipur
T0239,C009,CRD09,2026-05-01 01:04:43,2255.69,Reliance Digital,Electronics,Bengaluru
T0902,C005,CRD05,2026-04-27 23:48:29,1309.75,DMart,Groceries,Mumbai
T0577,C010,CRD10,2026-04-29 23:30:37,655.38,Zara,Shopping,Ahmedabad
T0076,C008,CRD08,2026-04-29 04:51:41,207.13,Meesho,E-commerce,Jaipur
T0164,C009,CRD09,2026-04-29 16:47:18,2912.57,Apple Store,Electronics,Bengaluru
T0139,C004,CRD04,2026-04-30 02:13:43,1058.54,Reliance Digital,Electronics,Mumbai
T0148,C006,CRD06,2026-05-01 02:39:25,2268.84,Tiffany,Luxury,Mumbai
T1117,C009,CRD09,2026-04-29 14:35:30,5452.5,BigBasket,Groceries,Pune
T0640,C004,CRD04,2026-04-30 12:45:10,39704.74,Tiffany,Luxury,Mumbai
T0582,C002,CRD02,2026-04-29 07:21:11,8970.46,Max Fashion,Shopping,Kolkata
T0047,C009,CRD09,2026-04-30 19:09:52,2816.1,Reliance Digital,Electronics,Bengaluru
T0803,C010,CRD10,2026-04-29 18:48:41,474.57,Max Fashion,Shopping,Ahmedabad
T0866,C002,CRD02,2026-04-29 01:54:48,192.32,Dominos,Food,Jaipur
T0805,C008,CRD08,2026-04-29 08:14:59,118.89,Meesho,E-commerce,Hyderabad
T0661,C002,CRD02,2026-04-29 02:03:45,310.02,Zomato,Food,Jaipur
T0693,C004,CRD04,2026-04-30 00:24:17,1817.62,Croma,Electronics,Delhi
T0265,C006,CRD06,2026-04-28 16:20:06,1754.51,Tiffany,Luxury,Mumbai
T1132,C008,CRD08,2026-04-30 02:31:41,1795.03,Amazon,E-commerce,Hyderabad
T0992,C005,CRD05,2026-05-01 03:00:17,20932.61,Louis Vuitton,Luxury,Delhi
T0678,C010,CRD10,2026-04-30 00:00:04,4787.25,Swiggy,Food,Chennai
T1005,C003,CRD03,2026-04-29 13:40:09,226.14,Max Fashion,Shopping,Delhi
T0709,C006,CRD06,2026-05-01 07:46:08,4636.22,Swiggy,Food,Delhi
T0588,C001,CRD01,2026-04-29 23:42:17,396.13,Flipkart,E-commerce,Delhi
T0038,C001,CRD01,2026-04-28 01:59:41,2120.12,Myntra,E-commerce,Bengaluru
T0307,C010,CRD10,2026-04-30 03:46:52,637.09,H&M,Shopping,Ahmedabad
T0320,C006,CRD06,2026-04-30 01:17:00,1659.39,Louis Vuitton,Luxury,Chennai
T0804,C010,CRD10,2026-04-28 12:09:33,393.48,Zara,Shopping,Ahmedabad
T1091,C002,CRD02,2026-05-01 01:08:36,173.55,Swiggy,Food,Jaipur
T0238,C008,CRD08,2026-04-30 11:27:36,1433.6,Meesho,E-commerce,Hyderabad
T0436,C007,CRD07,2026-04-29 18:34:41,6578.9,BPCL,Fuel,Delhi
T0096,C006,CRD06,2026-04-30 03:51:40,2277.95,Louis Vuitton,Luxury,Chennai
T0774,C001,CRD01,2026-04-28 01:01:55,886.05,Meesho,E-commerce,Jaipur
T1133,C008,CRD08,2026-04-29 12:49:44,2779.54,IndianOil,Fuel,Chennai
T0243,C002,CRD02,2026-04-29 06:54:01,170.58,Swiggy,Food,Jaipur
T0969,C006,CRD06,2026-04-30 09:55:11,6132.83,DMart,Groceries,Mumbai
T1059,C007,CRD07,2026-04-27 20:17:38,518.6,McDonald's,Food,Delhi
T0452,C010,CRD10,2026-04-30 01:42:41,102.13,Zara,Shopping,Ahmedabad
T0762,C007,CRD07,2026-04-28 00:47:08,1710.01,Zomato,Food,Mumbai
T0968,C001,CRD01,2026-04-30 17:02:53,3266.96,PVR Cinemas,Entertainment,Chennai
T1061,C008,CRD08,2026-04-28 19:52:55,846.81,Amazon,E-commerce,Hyderabad
T0292,C004,CRD04,2026-04-30 03:44:00,3578.08,PVR Cinemas,Entertainment,Surat
T0297,C001,CRD01,2026-04-30 01:40:45,11912.8,Louis Vuitton,Luxury,Delhi
T0031,C001,CRD01,2026-04-28 13:21:23,8318.89,BookMyShow,Entertainment,Mumbai
T0740,C006,CRD06,2026-05-01 02:09:06,3589.89,Apple Store,Electronics,Mumbai
T0207,C003,CRD03,2026-04-28 11:32:28,11327.15,Croma,Electronics,Delhi
T0300,C007,CRD07,2026-04-30 09:52:18,227.36,McDonald's,Food,Kolkata
T0646,C006,CRD06,2026-04-29 19:53:26,1575.31,Croma,Electronics,Nagpur
T1116,C005,CRD05,2026-04-28 09:12:36,266.02,Blinkit,Groceries,Pune
